report_start,report_end,ad_name,广告投放,成效,成效指标,单次成效费用,account,impressions,CPM（千次展示费用） (USD),spend,installs,单次应用安装费用 (USD),subscriptions,单次订阅费用 (USD),purchases,单次购物费用 (USD),roas,ctr,custom_derived_metrics:334261784830934,基于展示次数的 3 秒视频播放率,帖子评论数,帖文互动,成效获得率,video_completions,结果（初始）,成效（初始）指标
2025-12-01,2026-08-26,20260730_growme_EN_9x16_FX-SelfGrowth_ZT-Growth-pic12_RS-P1X1R3C3_pingme_GL,not_delivering,,,,260731_AAA_AEO-Purchase_ios_pic_Growme_mexbra_1_joy,89,2.247191,0.2,,,,,,,,0.0,,,,,,,,
2025-12-01,2026-08-26,20260730_growme_EN_9x16_FX-EnglishReaders_ZT-learning-pic2_RS-P1X1R3C3_pingme_Sherry,not_delivering,,,,260731_AAA_AEO-Purchase_ios_pic_Growme_mexbra_1_joy,4568,2.029335,9.27,,,,,,,,1.838879,0.0,,,86.0,,,,
2025-12-01,2026-08-26,20260730_GrowMe_EN_9x16_FX-Women_ZT-SelfImprovement-pic11_RS-P1X1R3C3_pingme_GL,not_delivering,,,,260731_AAA_AEO-Purchase_ios_pic_Growme_mexbra_1_joy,6825,1.869597,12.76,,,,,,,,1.67033,0.0,,,120.0,,,,
2025-12-01,2026-08-26,20260730_growme_EN_9x16_FX-SelfGrowth_ZT-Growth-pic9_RS-P1X1R3C3_pingme_GL,not_delivering,,,,260731_AAA_AEO-Purchase_ios_pic_Growme_mexbra_1_joy,66,1.969697,0.13,,,,,,,,0.0,,,,,,,,
2025-12-01,2026-08-26,20260730_growme_EN_9x16_FX-EnglishReaders_ZT-learning-pic1_RS-P1X1R3C3_pingme_Sherry,inactive,,,,260731_AAA_AEO-Purchase_ios_pic_Growme_mexbra_1_joy,8782,2.562059,22.5,2.0,11.25,,,,,,0.933728,0.02631579,,,82.0,,,,
2025-12-01,2026-08-26,20260730_growme_EN_9x16_FX-EnglishReaders_ZT-learning-pic7_RS-P1X1R3C3_pingme_LJQ,not_delivering,,,,260731_AAA_AEO-Purchase_ios_pic_Growme_mexbra_1_joy,121,2.892562,0.35,,,,,,,,4.958678,0.0,,,6.0,,,,
2025-12-01,2026-08-26,20260730_growme_EN_9x16_FX-EnglishReaders_ZT-growth-pic4_RS-P1X1R3C3_pingme_Sherry,not_delivering,,,,260731_AAA_AEO-Purchase_ios_pic_Growme_mexbra_1_joy,227,6.563877,1.49,,,,,,,,0.881057,0.0,,,1.0,,,,
2025-12-01,2026-08-26,20260729_growme_EN_4x5_FX-EnglishReaders_ZT-learning-pic8_RS-P1X1R3C3_gy,not_delivering,,,,260731_AAA_AEO-Purchase_ios_pic_Growme_mexbra_2_joy,20,0.5,0.01,,,,,,,,5.0,0.0,,,1.0,,,,
2025-12-01,2026-08-26,20260729_GrowMe_EN_4x5_FX-SelfGrowth _ZT- Learning-pic10_RS-P3X1R1C3_fj,not_delivering,,,,260731_AAA_AEO-Purchase_ios_pic_Growme_mexbra_2_joy,683,2.679356,1.83,1.0,1.83,,,,,,4.245974,0.03448276,,,29.0,,,,
2025-12-01,2026-08-26,20260729_growme_EN_4x5_FX-EnglishReaders_ZT-learning-pic5_RS-P1X1R3C3_gy,not_delivering,,,,260731_AAA_AEO-Purchase_ios_pic_Growme_mexbra_2_joy,856,2.067757,1.77,,,,,,,,2.102804,0.0,,,17.0,,,,
2025-12-01,2026-08-26,20260729_GrowMe_EN_4x5_FX-SelfGrowth _ZT- Learning-pic4_RS-P3X1R1C3_fj,not_delivering,,,,260731_AAA_AEO-Purchase_ios_pic_Growme_mexbra_2_joy,157,3.694268,0.58,,,,,,,,1.910828,0.0,,,3.0,,,,
2025-12-01,2026-08-26,20260729_GrowMe_EN_4x5_FX-SelfGrowth _ZT- Learning-pic3_RS-P3X1R1C3_fj,not_delivering,,,,260731_AAA_AEO-Purchase_ios_pic_Growme_mexbra_2_joy,38,4.736842,0.18,,,,,,,,0.0,,,,,,,,
2025-12-01,2026-08-26,20260729_growme_EN_4x5_FX-EnglishReaders_ZT-learning-pic7_RS-P1X1R3C3_gy,not_delivering,,,,260731_AAA_AEO-Purchase_ios_pic_Growme_mexbra_2_joy,1132,3.171378,3.59,1.0,3.59,,,,,,1.590106,0.05263158,,,25.0,,,,
2025-12-01,2026-08-26,20260729_GrowMe_EN_4x5_FX-SelfGrowth _ZT- Learning-pic2_RS-P3X1R1C3_fj,not_delivering,,,,260731_AAA_AEO-Purchase_ios_pic_Growme_mexbra_2_joy,812,6.194581,5.03,,,,,,,,1.970443,0.0,,,20.0,,,,
2025-12-01,2026-08-26,20260729_GrowMe_EN_4x5_FX-SelfGrowth _ZT- Learning-pic8_RS-P3X1R1C3_fj,not_delivering,,,,260731_AAA_AEO-Purchase_ios_pic_Growme_mexbra_2_joy,550,2.254545,1.24,,,,,,,,1.454545,0.0,,,9.0,,,,
2025-12-01,2026-08-26,20260729_GrowMe_EN_9x16_FX-SelfGrowth _ZT- Learning-pic13_RS-P3X1R1C3_fj,not_delivering,,,,260731_AAA_AEO-Purchase_ios_pic_Growme_mexbra_2_joy,120,2.75,0.33,,,,,,,,0.833333,0.0,,,1.0,,,,
2025-12-01,2026-08-26,20260729_GrowMe_EN_4x5_FX-SelfGrowth _ZT- Learning-pic5_RS-P3X1R1C3_fj,not_delivering,,,,260731_AAA_AEO-Purchase_ios_pic_Growme_mexbra_2_joy,753,2.961487,2.23,,,,,,,,2.656043,0.0,,,20.0,,,,
2025-12-01,2026-08-26,20260729_GrowMe_EN_4x5_FX-SelfGrowth _ZT- Learning-pic11_RS-P3X1R1C3_fj,not_delivering,,,,260731_AAA_AEO-Purchase_ios_pic_Growme_mexbra_2_joy,2885,2.561525,7.39,2.0,3.695,,,,,,3.743501,0.01869159,,,129.0,,,,
2025-12-01,2026-08-26,20260729_GrowMe_EN_4x5_FX-SelfGrowth _ZT- Learning-pic7_RS-P3X1R1C3_fj,not_delivering,,,,260731_AAA_AEO-Purchase_ios_pic_Growme_mexbra_2_joy,602,5.365449,3.23,,,,,,,,1.827243,0.0,,,12.0,,,,
2025-12-01,2026-08-26,20260729_GrowMe_EN_4x5_FX-SelfGrowth _ZT- Learning-pic6_RS-P3X1R1C3_fj,not_delivering,,,,260731_AAA_AEO-Purchase_ios_pic_Growme_mexbra_2_joy,73,1.09589,0.08,,,,,,,,1.369863,0.0,,,1.0,,,,
2025-12-01,2026-08-26,20260729_GrowMe_EN_9x16_FX-SelfGrowth _ZT- Learning-pic14_RS-P3X1R1C3_fj,inactive,,,,260731_AAA_AEO-Purchase_ios_pic_Growme_mexbra_2_joy,6556,5.845027,38.32,,,,,,,,1.449054,0.0,,,97.0,,,,
2025-12-01,2026-08-26,20260729_GrowMe_EN_4x5_FX-SelfGrowth _ZT- Learning-pic9_RS-P3X1R1C3_fj,not_delivering,,,,260731_AAA_AEO-Purchase_ios_pic_Growme_mexbra_2_joy,1400,2.85,3.99,,,,,,,,2.428571,0.0,,,36.0,,,,
2025-12-01,2026-08-26,20260729_growme_EN_9x16_FX-EnglishReaders_ZT-learning-pic4_RS-P1X1R3C3_gy,inactive,,,,260731_AAA_AEO-Purchase_ios_pic_Growme_mexbra_2_joy,15136,2.50991,37.99,1.0,37.99,,,,,,1.512949,0.0044843,,,255.0,,,,
2025-12-01,2026-08-26,20260729_growme_EN_4x5_FX-EnglishReaders_ZT-learning-pic11_RS-P1X1R3C3_gy.jpg,inactive,,,,260731_AAA_AEO-Purchase_ios_pic_Growme_mexbra_2_joy,5457,5.737585,31.31,,,,,,,,1.520982,0.0,,,96.0,,,,
