报告开始日期,报告结束日期,广告名称,广告投放,成效,成效指标,单次成效费用,广告组名称,展示次数,"CPM（千次展示费用） (USD)","已花费金额 (USD)",应用安装量,"单次应用安装费用 (USD)",订阅次数,"单次订阅费用 (USD)",购物次数,"单次购物费用 (USD)","广告花费回报 (ROAS) - 购物",点击率（全部）,custom_derived_metrics:334261784830934,"单次展示的播放视频达 3 秒率","视频播放进度达 100% 的次数",帖子评论数,帖文互动,结果（初始）,成效（初始）指标
2026-06-01,2026-07-06,20260701_growme_EN_9x16_FX-FinanceSeekers_ZT-SelfImprovement_RS-P1X1R3C3_fj,active,,,,260702_ABO_AEO-Purchase_ios_vid_Growme_WW_0701_joy,198,4.393939,0.87,,,,,,,,1.010101,0,16.161616,,,36,,
2026-06-01,2026-07-06,20260701_growme_EN_9x16_FX-Students_ZT-SelfImprovement_RS-P1X1R3C3_fj,inactive,2,actions:app_custom_event.fb_mobile_purchase,32.83,260702_ABO_AEO-Purchase_ios_vid_Growme_WW_0701_joy,23821,2.756391,65.66,14,4.69,1,65.66,2,32.83,0.230125,1.070484,0.07650273,12.379833,112,,3199,,
2026-06-01,2026-07-06,20260701_growme_EN_9x16_FX-Professionals_ZT-SelfImprovement_RS-P1X1R3C3_fj,inactive,,,,260702_ABO_AEO-Purchase_ios_vid_Growme_WW_0701_joy,4587,4.024417,18.46,14,1.318571,,,,,,2.63789,0.16091954,18.399826,31,,969,,
2026-06-01,2026-07-06,"20260630_growme_EN_9x16_FX-Readers_ZT-Book Reading-feel_RS-P1X1R3C3_fj",inactive,,,,260701_ABO_AEO-Purchase_ios_vid_Growme_WW_0630_joy,5469,3.733772,20.42,10,2.042,,,,,,2.121046,0.11627907,16.876943,98,,1044,,
2026-06-01,2026-07-06,20260630_GrowMe_EN_9x16_FX-SelfGrowth_ZT-LifeLessons-11things_RS-P3X1R1C3_fj,inactive,2,actions:app_custom_event.fb_mobile_purchase,64.805,260701_ABO_AEO-Purchase_ios_vid_Growme_WW_0630_joy,40517,3.198904,129.61,17,7.624118,2,64.805,2,64.805,0.292184,1.110645,0.1030303,28.879236,472,,12743,,
2026-06-01,2026-07-06,20260701_growme_EN_0_9x16_FX-Women_ZT-Mindset-choose_RS-P1X1R3C3_gy,active,,,,260702_ABO_AEO-Purchase_ios_vid_Growme_WW_0701_joy,1540,3.220779,4.96,,,,,,,,1.753247,0,18.571429,4,,312,,
2026-06-01,2026-07-06,20260701_growme_EN_0_9x16_FX-Overthinkers_ZT-Mindset-compare_RS-P1X1R3C3_gy,inactive,,,,260702_ABO_AEO-Purchase_ios_vid_Growme_WW_0701_joy,5087,3.369373,17.14,3,5.713333,,,,,,1.218793,0.08108108,15.490466,63,,858,,
2026-06-01,2026-07-06,20260701_growme_EN_0_9x16_FX-Readers_ZT-Bookreading-read_RS-P1X1R3C3_gy,inactive,,,,260702_ABO_AEO-Purchase_ios_vid_Growme_WW_0701_joy,3159,5.286483,16.7,8,2.0875,2,8.35,,,,1.677746,0.22857143,21.335866,39,,745,,
2026-06-01,2026-07-06,20260701_growme_EN_0_9x16_FX-Professional_ZT-SelfImprovement-read_RS-P1X1R3C3_gy,inactive,,,,260702_ABO_AEO-Purchase_ios_vid_Growme_WW_0701_joy,6485,3.292213,21.35,8,2.66875,,,,,,1.218196,0.2,15.636083,28,,1096,,
2026-06-01,2026-07-06,20260701_growme_EN_0_9x16_FX-Overthinkers_ZT-SelfImprovement-overthink_RS-P1X1R3C3_gy,inactive,,,,260702_ABO_AEO-Purchase_ios_vid_Growme_WW_0701_joy,6116,2.9431,18,6,3,,,,,,1.684107,0.08219178,16.088947,26,1,1104,,
2026-06-01,2026-07-06,20260701_growme_EN_0_9x16_FX-OFinaceSeekers_ZT-SelfImprovement-money_RS-P1X1R3C3_gy,active,,,,260702_ABO_AEO-Purchase_ios_vid_Growme_WW_0701_joy,7609,2.92154,22.23,9,2.47,,,,,,1.905638,0.08411215,16.00736,34,,1371,,
2026-06-01,2026-07-06,20260701_GrowMe_EN_9x16_FX-EnglishLearners_ZT-learning-afraid_RS-P1X1R3C3_wxx,inactive,,,,260702_ABO_AEO-Purchase_ios_vid_Growme_WW_0701_joy,7569,3.435064,26,7,3.714286,,,,,,1.823226,0.07954545,15.788083,33,,1339,,
2026-06-01,2026-07-06,20260701_GrowMe_EN_9x16_FX-Students_ZT-lifelessons-3min_RS-P1X1R3C3_wxx,inactive,1,actions:app_custom_event.fb_mobile_purchase,48.55,260702_ABO_AEO-Purchase_ios_vid_Growme_WW_0701_joy,14201,3.418773,48.55,10,4.855,1,48.55,1,48.55,0.236663,1.894233,0.05128205,13.175129,70,,2104,,
2026-06-01,2026-07-06,20260701_growme_EN_0_9x16_FX-SelfGrowth_ZT-SelfImprovement-2540_RS-P1X1R3C3_gy,inactive,,,,260702_ABO_AEO-Purchase_ios_vid_Growme_WW_0701_joy,9581,2.690742,25.78,12,2.148333,,,,,,1.106356,0.19047619,13.234527,81,,1385,,
2026-06-01,2026-07-06,20260701_GrowMe_EN_9x16_FX-Overthinkers_ZT-Healing-childhoodwounds_RS-P1X1R3C3_wxx,active,,,,260702_ABO_AEO-Purchase_ios_vid_Growme_WW_0701_joy,480,5.270833,2.53,,,,,,,,1.666667,0,23.75,1,,122,,
2026-06-01,2026-07-06,20260629_GrowMe_0_EN_9x16_FX-EnglishLearners_ZT-Learning-learn_RS-P3X1R1C3_gy,inactive,,,,260630_ABO_AEO-Purchase_ios_vid_Growme_WW_0629_joy,12356,2.911946,35.98,8,4.4975,,,,,,2.007122,0.03603604,17.586598,142,,2458,,
2026-06-01,2026-07-06,20260629_Growme_EN_9x16_FX-Creative_JB-061801-ZR_ZT-book1_RS-P2X1R1C3_095KB-JL_RMG-5887B,inactive,,,,260630_ABO_AEO-Purchase_ios_vid_Growme_WW_0629_joy,19629,1.800397,35.34,23,1.536522,,,,,,1.309287,0.16197183,16.872994,227,,3606,,
2026-06-01,2026-07-06,20260629_Growme_EN_9x16_FX-Creative_JB-061801-ZR_ZT-book1_RS-P2X1R1C3_095KB-JL_RMG-5887C,inactive,,,,260630_ABO_AEO-Purchase_ios_vid_Growme_WW_0629_joy,13075,2.497897,32.66,27,1.20963,,,,,,1.644359,0.15254237,17.307839,196,1,2525,,
2026-06-01,2026-07-06,20260629_Growme_EN_9x16_FX-Creative_JB-061801-ZR_ZT-book1_RS-P2X1R1C3_095KB-JL_RMG-5887A,active,,,,260630_ABO_AEO-Purchase_ios_vid_Growme_WW_0629_joy,372,5.349462,1.99,,,,,,,,0.806452,0,22.580645,4,,88,,
2026-06-01,2026-07-06,20260630_GrowMe_EN_9x16_FX-Overthinkers_ZT-Mindset-overthink_RS-P1X1R3C3_wxx,inactive,,,,260701_ABO_AEO-Purchase_ios_vid_Growme_WW_0630_joy,3169,5.588514,17.71,1,17.71,,,,,,3.029347,0.01388889,20.100978,17,,723,,
2026-06-01,2026-07-06,20260630_GrowMe_EN_9x16_FX-EnglishLearners_ZT-learning-best_RS-P1X1R3C3_wxx,inactive,,,,260701_ABO_AEO-Purchase_ios_vid_Growme_WW_0630_joy,7192,3.146552,22.63,13,1.740769,,,,,,1.682425,0.1625,15.670189,40,,1254,,
2026-06-01,2026-07-06,20260630_GrowMe_EN_9x16_FX-SelfGrowth_ZT-Challenge-habit_RS-P1X1R3C3_wxx,inactive,5,actions:app_custom_event.fb_mobile_purchase,77.664,260701_ABO_AEO-Purchase_ios_vid_Growme_WW_0630_joy,75280,5.158342,388.32,93,4.175484,6,64.72,5,77.664,0.313273,1.969979,0.08072917,14.549681,349,1,12416,,
