report_start,report_end,ad_name,广告投放,成效,成效指标,单次成效费用,account,impressions,CPM（千次展示费用） (USD),spend,installs,单次应用安装费用 (USD),subscriptions,单次订阅费用 (USD),purchases,单次购物费用 (USD),roas,ctr,custom_derived_metrics:334261784830934,hook_rate,帖子评论数,帖文互动,成效获得率,video_completions,结果（初始）,成效（初始）指标
2025-12-01,2026-07-27,20260721_GrowMe_EN_9x16_FX-SelfGrowth_ZT-BookReading_RS-P1X1R3C3_aitool_cty,inactive,,,,260723_ABO_AEO-Purchase_ios_vid_Growme_WW_文案2_joy,10342,0.884742,9.15,3.0,3.05,,,,,,0.715529,0.07142857,13.188938,,1457.0,,38.0,,
2025-12-01,2026-07-27,20260721_GrowMe_EN_9x16_FX-Readers_ZT-SelfImprovement_RS-P1X1R3C3_aitool_cty,inactive,,,,260723_ABO_AEO-Purchase_ios_vid_Growme_WW_文案2_joy,19845,0.797682,15.83,7.0,2.261429,,,,,,0.700428,0.11111111,11.982867,,2526.0,,82.0,,
2025-12-01,2026-07-27,20260721_GrowMe_EN_9x16_FX-Women_ZT-WomenEmpowerment_RS-P1X1R3C3_aitool_cty,inactive,,,,260723_ABO_AEO-Purchase_ios_vid_Growme_WW_文案2_joy,14190,1.002114,14.22,7.0,2.031429,,,,,,0.648344,0.21212121,16.53277,,2447.0,,72.0,,
2025-12-01,2026-07-27,20260721_GrowMe_EN_9x16_FX-Students_ZT-BookReading_RS-P1X1R3C3_aitool_cty,inactive,,,,260723_ABO_AEO-Purchase_ios_vid_Growme_WW_文案2_joy,14105,0.663594,9.36,4.0,2.34,,,,,,0.90039,0.06153846,12.541652,,1907.0,,36.0,,
2025-12-01,2026-07-27,20260722_GrowMe_EN_9x16_FX-EnglishLearners_ZT-Communication_RS-P1X1R3C3_aitool_cty,inactive,,,,260723_ABO_AEO-Purchase_ios_vid_Growme_WW_文案2_joy,10313,0.999709,10.31,,,,,,,,0.74663,0.0,10.811597,,1201.0,,24.0,,
2025-12-01,2026-07-27,20260722_GrowMe_EN_9x16_FX-Readers_ZT-BookReading_RS-P1X1R3C3_aitool_cty,inactive,,,,260723_ABO_AEO-Purchase_ios_vid_Growme_WW_文案2_joy,10862,0.680354,7.39,,,,,,,,0.727306,0.0,10.311177,,1208.0,,34.0,,
2025-12-01,2026-07-27,20260722_GrowMe_EN_9x16_FX-EnglishLearners_ZT-Focus_RS-P1X1R3C3_aitool_cty,inactive,,,,260723_ABO_AEO-Purchase_ios_vid_Growme_WW_文案2_joy,15410,0.817002,12.59,10.0,1.259,,,,,,0.82414,0.16393443,13.880597,,2284.0,,48.0,,
2025-12-01,2026-07-27,20260721_GrowMe_EN_9x16_FX-Professionals_ZT-Communication_RS-P1X1R3C3_aitool_cty,inactive,,,,260723_ABO_AEO-Purchase_ios_vid_Growme_WW_文案2_joy,12507,0.708403,8.86,1.0,8.86,,,,,,0.967458,0.01470588,11.705445,,1584.0,,39.0,,
2025-12-01,2026-07-27,20260721_GrowMe_EN_9x16_FX-Students_ZT-Learning_RS-P1X1R3C3_aitool_cty,active,,,,260723_AAA_AEO-Purchase_ios_vid_Growme_US_文案_joy,32,12.8125,0.41,,,,,,,,0.0,,15.625,,5.0,,,,
2025-12-01,2026-07-27,20260722_GrowMe_EN_9x16_FX-EnglishLearners_ZT-Habits_RS-P1X1R3C3_aitool_cty,active,,,,260723_AAA_AEO-Purchase_ios_vid_Growme_US_文案_joy,50,21.0,1.05,,,,,,,,2.0,0.0,20.0,,12.0,,2.0,,
2025-12-01,2026-07-27,20260722_GrowMe_EN_9x16_FX-Students_ZT-LifeLessons_RS-P1X1R3C3_aitool_cty,active,,,,260723_ABO_AEO-Purchase_ios_vid_Growme_WW_文案2_joy,1071,0.625584,0.67,,,,,,,,0.746965,0.0,10.364146,,121.0,,4.0,,
2025-12-01,2026-07-27,20260722_GrowMe_EN_9x16_FX-Professionals_ZT-Habits_RS-P1X1R3C3_aitool_cty,active,,,,260723_ABO_AEO-Purchase_ios_vid_Growme_WW_文案2_joy,1590,1.220126,1.94,,,,,,,,0.754717,0.0,13.836478,,232.0,,7.0,,
2025-12-01,2026-07-27,20260722_GrowMe_EN_9x16_FX-Students_ZT-Mindset_RS-P1X1R3C3_aitool_cty,active,,,,260723_ABO_AEO-Purchase_ios_vid_Growme_WW_文案2_joy,9644,0.613853,5.92,,,,,,,,0.871008,0.0,12.691829,,1305.0,,28.0,,
2025-12-01,2026-07-27,20260722_GrowMe_EN_9x16_FX-SelfGrowth_ZT-Discipline_RS-P1X1R3C3_aitool_cty,active,,,,260723_ABO_AEO-Purchase_ios_vid_Growme_WW_文案2_joy,1255,0.749004,0.94,,,,,,,,0.956175,0.0,9.880478,,134.0,,4.0,,
2025-12-01,2026-07-27,20260721_GrowMe_EN_9x16_FX-Overthinkers_ZT-EmotionalHealth_RS-P1X1R3C3_aitool_cty,active,,,,260723_ABO_AEO-Purchase_ios_vid_Growme_WW_文案2_joy,583,0.58319,0.34,,,,,,,,0.857633,0.0,17.495712,,106.0,,2.0,,
2025-12-01,2026-07-27,20260721_GrowMe_EN_9x16_FX-SelfGrowth_ZT-Habits_RS-P1X1R3C3_aitool_cty,active,,,,260723_ABO_AEO-Purchase_ios_vid_Growme_WW_文案2_joy,595,0.453782,0.27,,,,,,,,0.168067,0.0,10.252101,,62.0,,,,
2025-12-01,2026-07-27,20260721_GrowMe_EN_9x16_FX-SelfGrowth_ZT-LifeLessons_RS-P1X1R3C3_aitool_cty,active,,,,260723_ABO_AEO-Purchase_ios_vid_Growme_WW_文案2_joy,1735,0.668588,1.16,,,,,,,,0.461095,0.0,15.677233,,283.0,,14.0,,
2025-12-01,2026-07-27,20260722_GrowMe_EN_9x16_FX-SelfGrowth_ZT-Growth_RS-P1X1R3C3_aitool_cty,inactive,,,,260723_ABO_AEO-Purchase_ios_vid_Growme_WW_文案2_joy,22390,1.73649,38.88,23.0,1.690435,,,,,,0.643144,0.27380952,15.757034,,3766.0,,86.0,,
2025-12-01,2026-07-27,20260721_GrowMe_EN_9x16_FX-Professionals_ZT-Growth_RS-P1X1R3C3_aitool_cty,active,,,,260723_ABO_AEO-Purchase_ios_vid_Growme_WW_文案2_joy,481,1.122661,0.54,,,,,,,,0.623701,0.0,11.018711,1.0,55.0,,1.0,,
2025-12-01,2026-07-27,20260722_GrowMe_EN_9x16_FX-Overthinkers_ZT-EmotionalHealth_RS-P1X1R3C3_aitool_cty,active,,,,260723_ABO_AEO-Purchase_ios_vid_Growme_WW_文案2_joy,637,0.706436,0.45,,,,,,,,1.098901,0.0,14.128728,,99.0,,5.0,,
2025-12-01,2026-07-27,20260721_GrowMe_EN_9x16_FX-EnglishLearners_ZT-Habits_RS-P1X1R3C3_aitool_cty,active,,,,260723_ABO_AEO-Purchase_ios_vid_Growme_WW_文案2_joy,6072,1.398221,8.49,,,,,,,,1.070487,0.0,15.678524,,1047.0,,25.0,,
