report_start,report_end,ad_name,广告投放,成效,成效指标,单次成效费用,account,impressions,CPM（千次展示费用） (USD),spend,installs,单次应用安装费用 (USD),subscriptions,单次订阅费用 (USD),purchases,单次购物费用 (USD),roas,ctr,custom_derived_metrics:334261784830934,基于展示次数的 3 秒视频播放率,帖子评论数,帖文互动,成效获得率,video_completions,结果（初始）,成效（初始）指标
2025-12-01,2026-08-26,20260727_GrowMe_EN_9x16_FX-Readers_ZT-Growth_RS-P1X1R2_aitool_cty,not_delivering,,,,260729_ABO_AEO-Purchase_ios_vid_Growme_mexbra_0727/0728_joy,310,3.16129,0.98,,,,,,,,2.903226,0.0,18.709677,,69.0,,6.0,,
2025-12-01,2026-08-26,20260727_GrowMe_EN_9x16_FX-Readers_ZT-BookReading_RS-P1X1R1_aitool_cty,inactive,,,,260729_ABO_AEO-Purchase_ios_vid_Growme_mexbra_0727/0728_joy,3297,4.118896,13.58,,,,,,,,0.727934,0.0,16.833485,,593.0,,24.0,,
2025-12-01,2026-08-26,20260727_GrowMe_EN_9x16_FX-Women_ZT-Mindset_RS-P1X1R2_aitool_cty,not_delivering,,,,260729_ABO_AEO-Purchase_ios_vid_Growme_mexbra_0727/0728_joy,361,2.686981,0.97,,,,,,,,0.554017,0.0,18.559557,,70.0,,4.0,,
2025-12-01,2026-08-26,20260727_GrowMe_EN_9x16_FX-EnglishLearners_ZT-Habits_RS-P1X1R2_aitool_cty,inactive,,,,260729_ABO_AEO-Purchase_ios_vid_Growme_mexbra_0727/0728_joy,11587,3.095711,35.87,6.0,5.978333,,,,,,0.983861,0.05714286,14.757918,,1873.0,,103.0,,
2025-12-01,2026-08-26,20260727_GrowMe_EN_9x16_FX-Introverts_ZT-Mindset_RS-P1X1R1_aitool_cty,not_delivering,,,,260729_ABO_AEO-Purchase_ios_vid_Growme_mexbra_0727/0728_joy,23,4.782609,0.11,,,,,,,,0.0,,34.782609,,8.0,,,,
2025-12-01,2026-08-26,20260727_GrowMe_EN_9x16_FX-Students_ZT-Mindset_RS-P1X1R3_aitool_cty,not_delivering,,,,260729_ABO_AEO-Purchase_ios_vid_Growme_mexbra_0727/0728_joy,11,2.727273,0.03,,,,,,,,9.090909,,18.181818,,2.0,,,,
2025-12-01,2026-08-26,20260727_GrowMe_EN_9x16_FX-Introverts_ZT-Communication_RS-P1X1R2_aitool_cty,inactive,,,,260729_ABO_AEO-Purchase_ios_vid_Growme_mexbra_0727/0728_joy,22649,2.750673,62.3,9.0,6.922222,,,,,,0.43269,0.18367347,15.616584,,3794.0,,157.0,,
2025-12-01,2026-08-26,20260727_GrowMe_EN_9x16_FX-Women_ZT-WomenEmpowerment_RS-P1X1R1_aitool_cty,inactive,,,,260729_ABO_AEO-Purchase_ios_vid_Growme_mexbra_0727/0728_joy,16942,2.960099,50.15,3.0,16.716667,,,,,,0.448589,0.07142857,16.284972,,2944.0,,267.0,,
2025-12-01,2026-08-26,20260727_GrowMe_EN_9x16_FX-EnglishLearners_ZT-Learning_RS-P1X1R1_aitool_cty,inactive,,,,260729_ABO_AEO-Purchase_ios_vid_Growme_mexbra_0727/0728_joy,7858,2.965131,23.3,4.0,5.825,,,,,,0.916264,0.0754717,17.141766,,1464.0,,124.0,,
2025-12-01,2026-08-26,20260727_GrowMe_EN_9x16_FX-FinanceSeekers_ZT-Finance_RS-P1X1R1_aitool_cty,not_delivering,,,,260729_ABO_AEO-Purchase_ios_vid_Growme_mexbra_0727/0728_joy,40,2.75,0.11,,,,,,,,0.0,,17.5,,7.0,,,,
