报告开始日期,报告结束日期,广告名称,广告投放,成效,成效指标,单次成效费用,广告组名称,展示次数,"CPM（千次展示费用） (USD)","已花费金额 (USD)",应用安装量,"单次应用安装费用 (USD)",订阅次数,"单次订阅费用 (USD)",购物次数,"单次购物费用 (USD)","广告花费回报 (ROAS) - 购物",点击率（全部）,custom_derived_metrics:334261784830934,"单次展示的播放视频达 3 秒率",帖子评论数,帖文互动,成效获得率,"视频播放进度达 100% 的次数",结果（初始）,成效（初始）指标
2026-07-01,2026-07-13,20260707_GrowMe_EN_9x16_FX-FinanceSeekers_ZT-Growth_RS-P1X1R3C3_aitool_czy,active,,,,260710_ABO_AEO-Purchase_ios_vid_Growme_WW_0707/0708/0709_文案老形式_joy,3420,2.406433,8.23,6,1.371667,,,,,,2.426901,0.08823529,15.350877,,612,,19,,
2026-07-01,2026-07-13,20260707_GrowMe_EN_9x16_FX-EnglishLearners_ZT-Learning_RS-P1X1R3C3_aitool_czy,inactive,,,,260710_ABO_AEO-Purchase_ios_vid_Growme_WW_0707/0708/0709_文案老形式_joy,21378,2.106839,45.04,19,2.370526,2,22.52,,,,1.136683,0.10382514,14.107961,,3328,,70,,
2026-07-01,2026-07-13,20260707_GrowMe_EN_9x16_FX-Readers_ZT-Habits_RS-P1X1R3C3_aitool_czy,active,,,,260710_ABO_AEO-Purchase_ios_vid_Growme_WW_0707/0708/0709_文案老形式_joy,6225,2.412851,15.02,5,3.004,,,,,,1.076305,0.13888889,16.835341,,1134,,25,,
2026-07-01,2026-07-13,20260708_GrowMe_EN_9x16_FX-EnglishLearners_ZT-Learning_RS-P1X1R3C3_aitool_czy,inactive,,,,260710_ABO_AEO-Purchase_ios_vid_Growme_WW_0707/0708/0709_文案老形式_joy,10308,2.66104,27.43,7,3.918571,,,,,,1.309662,0.06862745,13.484672,,1542,,45,,
2026-07-01,2026-07-13,20260707_GrowMe_EN_9x16_FX-Professionals_ZT-Habits_RS-P1X1R3C3_aitool_czy,active,,,,260710_ABO_AEO-Purchase_ios_vid_Growme_WW_0707/0708/0709_文案老形式_joy,187,1.764706,0.33,,,,,,,,2.139037,0,14.438503,,35,,1,,
2026-07-01,2026-07-13,20260707_GrowMe_EN_9x16_FX-Overthinkers_ZT-Mindset_RS-P1X1R3C3_aitool_czy,active,,,,260710_ABO_AEO-Purchase_ios_vid_Growme_WW_0707/0708/0709_文案老形式_joy,5899,4.219359,24.89,4,6.2225,,,,,,1.813867,0.05063291,17.172402,,1119,,35,,
2026-07-01,2026-07-13,20260707_GrowMe_EN_9x16_FX-SelfGrowth_ZT-Focus_RS-P1X1R3C3_aitool_czy,active,,,,260710_ABO_AEO-Purchase_ios_vid_Growme_WW_0707/0708/0709_文案老形式_joy,4358,1.7095,7.45,,,,,,,,0.665443,0,15.557595,,719,,18,,
2026-07-01,2026-07-13,20260707_GrowMe_EN_9x16_FX-Professionals_ZT-Growth_RS-P1X1R3C3_aitool_czy,active,,,,260710_ABO_AEO-Purchase_ios_vid_Growme_WW_0707/0708/0709_文案老形式_joy,543,1.510129,0.82,,,,,,,,1.289134,0,18.232044,,113,,2,,
2026-07-01,2026-07-13,20260707_GrowMe_EN_9x16_FX-Professionals_ZT-Communication_RS-P1X1R3C3_aitool_czy,inactive,,,,260710_ABO_AEO-Purchase_ios_vid_Growme_WW_0707/0708/0709_文案老形式_joy,16969,1.850433,31.4,13,2.415385,1,31.4,,,,0.630562,0.28888889,12.811598,,2311,,48,,
2026-07-01,2026-07-13,20260708_GrowMe_EN_9x16_FX-FinanceSeekers_ZT-Finance_RS-P1X1R3C3_aitool_czy,active,,,,260710_ABO_AEO-Purchase_ios_vid_Growme_WW_0707/0708/0709_文案老形式_joy,1327,1.597589,2.12,,,,,,,,0.75358,0,14.6948,,214,,10,,
2026-07-01,2026-07-13,20260707_GrowMe_EN_9x16_FX-Women_ZT-EmotionalHealth_RS-P1X1R3C3_aitool_czy,active,,,,260710_ABO_AEO-Purchase_ios_vid_Growme_WW_0707/0708/0709_文案老形式_joy,463,1.74946,0.81,,,,,,,,0.215983,0,15.334773,,77,,1,,
2026-07-01,2026-07-13,20260709_GrowMe_EN_9x16_FX-SelfGrowth_ZT-Discipline_RS-P1X1R3C3_aitool_czy,active,,,,260710_ABO_AEO-Purchase_ios_vid_Growme_WW_0708/0709_文案老形式_joy,919,2.872688,2.64,,,,,,,,1.741023,0,17.301415,,181,,6,,
2026-07-01,2026-07-13,20260708_GrowMe_EN_9x16_FX-SelfGrowth_ZT-SelfImprovement_RS-P1X1R3C3_aitool_czy,inactive,,,,260710_ABO_AEO-Purchase_ios_vid_Growme_WW_0708/0709_文案老形式_joy,11632,1.916265,22.29,20,1.1145,,,,,,0.876891,0.47619048,14.709422,,1887,,28,,
2026-07-01,2026-07-13,20260708_GrowMe_EN_9x16_FX-Readers_ZT-BookReading-3_RS-P1X1R3C3_aitool_czy,inactive,1,actions:app_custom_event.fb_mobile_purchase,57.76,260710_ABO_AEO-Purchase_ios_vid_Growme_WW_0708/0709_文案老形式_joy,37003,1.560955,57.76,26,2.221538,1,57.76,1,57.76,0.196157,0.656704,0.21311475,15.60414,3,6128,0.00270248,161,,
2026-07-01,2026-07-13,20260708_GrowMe_EN_9x16_FX-Professionals_ZT-Communication_RS-P1X1R3C3_aitool_czy,active,,,,260710_ABO_AEO-Purchase_ios_vid_Growme_WW_0708/0709_文案老形式_joy,637,2.574568,1.64,,,,,,,,0.941915,0,13.186813,,94,,2,,
2026-07-01,2026-07-13,20260709_GrowMe_EN_9x16_FX-Students_ZT-Habits_RS-P1X1R3C3_aitool_czy,active,,,,260710_ABO_AEO-Purchase_ios_vid_Growme_WW_0708/0709_文案老形式_joy,391,1.278772,0.5,,,,,,,,0,,23.529412,,98,,1,,
2026-07-01,2026-07-13,20260708_GrowMe_EN_9x16_FX-Professionals_ZT-Communication-1_RS-P1X1R3C3_aitool_czy,active,,,,260710_ABO_AEO-Purchase_ios_vid_Growme_WW_0708/0709_文案老形式_joy,4681,3.138218,14.69,2,7.345,2,7.345,,,,1.794488,0.02941176,14.291818,,753,,29,,
2026-07-01,2026-07-13,20260709_GrowMe_EN_9x16_FX-EnglishLearners_ZT-Learning_RS-P1X1R3C3_aitool_czy,inactive,,,,260710_ABO_AEO-Purchase_ios_vid_Growme_WW_0708/0709_文案老形式_joy,15373,3.411175,52.44,23,2.28,1,52.44,,,,1.274963,0.17293233,15.566253,,2637,,84,,
2026-07-01,2026-07-13,20260708_GrowMe_EN_9x16_FX-Students_ZT-Discipline_RS-P1X1R3C3_aitool_czy,active,,,,260710_ABO_AEO-Purchase_ios_vid_Growme_WW_0708/0709_文案老形式_joy,521,2.648752,1.38,,,,,,,,0.767754,0,15.547025,,89,,,,
2026-07-01,2026-07-13,20260709_GrowMe_EN_9x16_FX-Professionals_ZT-Communication_RS-P1X1R3C3_aitool_czy,inactive,,,,260710_ABO_AEO-Purchase_ios_vid_Growme_WW_0708/0709_文案老形式_joy,11492,2.482597,28.53,13,2.194615,2,14.265,,,,0.687435,0.33333333,15.602158,,1921,,53,,
2026-07-01,2026-07-13,20260708_GrowMe_EN_9x16_FX-Readers_ZT-Habits_RS-P1X1R3C3_aitool_czy,active,,,,260710_ABO_AEO-Purchase_ios_vid_Growme_WW_0708/0709_文案老形式_joy,631,1.77496,1.12,,,,,,,,0.316957,,17.591125,,125,,3,,
2026-07-01,2026-07-13,20260709_GrowMe_EN_9x16_FX-SelfGrowth_ZT-Growth_RS-P1X1R3C3_aitool_czy,active,,,,260710_ABO_AEO-Purchase_ios_vid_Growme_WW_0708/0709_文案老形式_joy,83,1.325301,0.11,,,,,,,,0,,24.096386,,23,,3,,
2026-07-01,2026-07-13,20260707_GrowMe_EN_9x16_FX-SelfGrowth_ZT-SelfImprovement-2_RS-P1X1R3C3_aitool_czy,active,,,,260710_ABO_AEO-Purchase_ios_vid_Growme_WW_0707/0708/0709_文案老形式_joy,79,1.898734,0.15,,,,,,,,0,,12.658228,,12,,1,,
2026-07-01,2026-07-13,20260709_GrowMe_EN_9x16_FX-EnglishLearners_ZT-Learning-1_RS-P1X1R3C3_aitool_czy,inactive,,,,260710_ABO_AEO-Purchase_ios_vid_Growme_WW_0708/0709_文案老形式_joy,10948,1.933687,21.17,9,2.352222,,,,,,0.520643,0.3,13.253562,,1568,,40,,
2026-07-01,2026-07-13,20260708_GrowMe_EN_9x16_FX-Students_ZT-Learning_RS-P1X1R3C3_aitool_czy,active,,,,260710_ABO_AEO-Purchase_ios_vid_Growme_WW_0708/0709_文案老形式_joy,3639,2.423743,8.82,3,2.94,,,,,,1.264084,0.08108108,16.048365,,648,,19,,
2026-07-01,2026-07-13,"20260708_GrowMe_EN_9x16_FX-Students_ZT-Learning_RS-P1X1R3C3_aitool_czy 2",active,,,,260710_ABO_AEO-Purchase_ios_vid_Growme_WW_0708/0709_文案老形式_joy,681,2.599119,1.77,,,,,,,,1.468429,0,15.859031,,121,,12,,
2026-07-01,2026-07-13,20260709_GrowMe_EN_9x16_FX-FinanceSeekers_ZT-Finance_RS-P1X1R3C3_aitool_czy,active,,,,260710_ABO_AEO-Purchase_ios_vid_Growme_WW_0708/0709_文案老形式_joy,171,2.397661,0.41,,,,,,,,0.584795,0,12.865497,,24,,,,
2026-07-01,2026-07-13,20260709_GrowMe_EN_9x16_FX-Women_ZT-SelfImprovement_RS-P1X1R3C3_aitool_czy,active,,,,260710_ABO_AEO-Purchase_ios_vid_Growme_WW_0708/0709_文案老形式_joy,225,2.044444,0.46,,,,,,,,0.888889,0,15.555556,,36,,2,,
2026-07-01,2026-07-13,20260708_GrowMe_EN_9x16_FX-Professionals_ZT-Learning_RS-P1X1R3C3_aitool_czy,active,,,,260710_ABO_AEO-Purchase_ios_vid_Growme_WW_0708/0709_文案老形式_joy,2494,1.892542,4.72,,,,,,,,0.601443,0,15.597434,,428,,19,,
2026-07-01,2026-07-13,20260708_GrowMe_EN_9x16_FX-Overthinkers_ZT-EmotionalHealth-1_RS-P1X1R3C3_aitool_czy,active,,,,260710_ABO_AEO-Purchase_ios_vid_Growme_WW_0708/0709_文案老形式_joy,6734,1.612712,10.86,7,1.551429,,,,,,0.772201,0.31818182,14.270864,,1048,,39,,
2026-07-01,2026-07-13,20260708_GrowMe_EN_9x16_FX-Overthinkers_ZT-Mindset-1_RS-P1X1R3C3_aitool_czy,active,,,,260710_ABO_AEO-Purchase_ios_vid_Growme_WW_0708/0709_文案老形式_joy,13327,2.867862,38.22,11,3.474545,,,,,,1.07301,0.14473684,15.382307,,2231,,88,,
2026-07-01,2026-07-13,20260708_GrowMe_EN_9x16_FX-Professionals_ZT-Growth_RS-P1X1R3C3_aitool_czy,inactive,,,,260710_ABO_AEO-Purchase_ios_vid_Growme_WW_0708/0709_文案老形式_joy,10449,2.193511,22.92,2,11.46,,,,,,0.736913,0.06896552,15.130635,,1705,,56,,
2026-07-01,2026-07-13,20260708_GrowMe_EN_9x16_FX-Women_ZT-Communication_RS-P1X1R3C3_aitool_czy,active,,,,260710_ABO_AEO-Purchase_ios_vid_Growme_WW_0708/0709_文案老形式_joy,142,1.267606,0.18,,,,,,,,0,,14.084507,,20,,1,,
2026-07-01,2026-07-13,20260708_GrowMe_EN_9x16_FX-Overthinkers_ZT-EmotionalHealth_RS-P1X1R3C3_aitool_czy,active,,,,260710_ABO_AEO-Purchase_ios_vid_Growme_WW_0708/0709_文案老形式_joy,1439,2.182071,3.14,1,3.14,,,,,,0.625434,0.33333333,14.940931,,226,,10,,
2026-07-01,2026-07-13,20260709_GrowMe_EN_9x16_FX-Readers_ZT-Habits_RS-P1X1R3C3_aitool_czy,inactive,,,,260710_ABO_AEO-Purchase_ios_vid_Growme_WW_0708/0709_文案老形式_joy,10923,1.589307,17.36,8,2.17,,,,,,0.7324,0.21052632,16.506454,,1941,,60,,
2026-07-01,2026-07-13,20260708_GrowMe_EN_9x16_FX-Women_ZT-EmotionalHealth_RS-P1X1R3C3_aitool_czy,inactive,,,,260710_ABO_AEO-Purchase_ios_vid_Growme_WW_0708/0709_文案老形式_joy,10415,2.402304,25.02,1,25.02,,,,,,0.912146,0.01666667,13.768603,,1560,,39,,
2026-07-01,2026-07-13,20260708_GrowMe_EN_9x16_FX-Overthinkers_ZT-Growth_RS-P1X1R3C3_aitool_czy,active,,,,260710_ABO_AEO-Purchase_ios_vid_Growme_WW_0708/0709_文案老形式_joy,94,5.319149,0.5,,,,,,,,0,,9.574468,,11,,,,
2026-07-01,2026-07-13,20260708_GrowMe_EN_9x16_FX-Readers_ZT-BookReading_RS-P1X1R3C3_aitool_czy,active,,,,260710_ABO_AEO-Purchase_ios_vid_Growme_WW_0708/0709_文案老形式_joy,13726,1.307737,17.95,4,4.4875,,,,,,0.553694,0.12903226,14.111904,,2077,,44,,
2026-07-01,2026-07-13,20260709_GrowMe_EN_9x16_FX-Professionals_ZT-Learning_RS-P1X1R3C3_aitool_czy,active,,,,260710_ABO_AEO-Purchase_ios_vid_Growme_WW_0708/0709_文案老形式_joy,144,3.958333,0.57,,,,,,,,0.694444,0,10.416667,,17,,1,,
2026-07-01,2026-07-13,20260709_GrowMe_EN_9x16_FX-Students_ZT-Learning_RS-P1X1R3C3_aitool_czy,active,,,,260710_ABO_AEO-Purchase_ios_vid_Growme_WW_0708/0709_文案老形式_joy,66,2.575758,0.17,,,,,,,,0,,18.181818,,12,,,,
2026-07-01,2026-07-13,20260708_GrowMe_EN_9x16_FX-SelfGrowth_ZT-Discipline_RS-P1X1R3C3_aitool_czy,active,,,,260710_ABO_AEO-Purchase_ios_vid_Growme_WW_0708/0709_文案老形式_joy,285,1.789474,0.51,,,,,,,,0,,20.701754,,61,,2,,
2026-07-01,2026-07-13,20260709_GrowMe_EN_9x16_FX-Overthinkers_ZT-Mindset_RS-P1X1R3C3_aitool_czy,active,,,,260710_ABO_AEO-Purchase_ios_vid_Growme_WW_0708/0709_文案老形式_joy,273,2.014652,0.55,,,,,,,,1.098901,0,16.849817,,50,,2,,
