报告开始日期,报告结束日期,广告名称,广告投放,归因设置,成效,成效指标,单次成效费用,广告组预算,广告组预算类型,"已花费金额 (USD)",展示次数,覆盖人数,广告组名称,订阅次数,"单次订阅费用 (USD)",应用安装量,"单次应用安装费用 (USD)"
2026-07-11,2026-08-10,20260803_growme_EN_9x16_FX-Readers_ZT-MicroLearning_LVL1-Dialogue_RS-P1X1R3C3_pingme_BJY,active,"点击后 1 天内",,,,150,单日预算,3.43,207,197,260806_AAA_AEO-Purchase_ios_vid_Growme_T1_0806highvalue_joy,,,,
2026-07-11,2026-08-10,20260803_growme_EN_9x16_FX-Readers_ZT-MicroLearning_LVL1-DialogueRS-P1X1R3C3_pingme_YZY,active,"点击后 1 天内",,,,150,单日预算,34.93,1777,1606,260806_AAA_AEO-Purchase_ios_vid_Growme_T1_0806highvalue_joy,1,34.93,1,34.93
2026-07-11,2026-08-10,20260803_growme_EN_9x16_FX-SelfGrowth_ZT-MicroLearning_LVL1-Vlog_RS-P1X1R3C3_pingme_WPL,active,"点击后 1 天内",,,,150,单日预算,0.11,15,15,260806_AAA_AEO-Purchase_ios_vid_Growme_T1_0806highvalue_joy,1,0.11,1,0.11
2026-07-11,2026-08-10,20260803_growme_EN_9x16_FX-Readers_ZT-MicroLearning_LVL1-DialogueRS-P1X1R3C3_pingme_ZYL,active,"点击后 1 天内",,,,150,单日预算,2.35,136,126,260806_AAA_AEO-Purchase_ios_vid_Growme_T1_0806highvalue_joy,,,,
2026-07-11,2026-08-10,20260803_growme_EN_9x16_FX-SelfGrowth_ZT-SelfImprovement_LVL1-TEDtalk_RS-P1X1R3C3_pingme_ZL,active,"点击后 1 天内",,,,150,单日预算,3.3,150,128,260806_AAA_AEO-Purchase_ios_vid_Growme_T1_0806highvalue_joy,,,,
2026-07-11,2026-08-10,20260803_growme_EN_9x16_FX-Professionals_ZT-Growth_LVL1-plot_RS-P1X1R3C3_pingme_SZH,inactive,"点击后 1 天内",,,,100,单日预算,48.24,3099,2822,260806_AAA_AEO-Purchase_ios_vid_Growme_T1_new3_joy,,,2,24.12
2026-07-11,2026-08-10,20260806_growme_EN_9x16_FX-Professionals_ZT-Growth_LVL1-plot_RS-P1X1R1C3_wxx,inactive,"点击后 1 天内",,,,100,单日预算,52.42,2957,2696,260806_AAA_AEO-Purchase_ios_vid_Growme_T1_new3_joy,,,1,52.42
2026-07-11,2026-08-10,20260803_GrowMe_EN_9x16_FX-Women_ZT-WomenEmpowerment_RS-P3X1R1C3_fj,active,"点击后 1 天内",,,,150,单日预算,9.28,406,385,260806_AAA_AEO-Purchase_ios_vid_Growme_T1_0806highvalue_joy,,,,
2026-07-11,2026-08-10,20260803_GrowMe_EN_9x16_FX-Readers_ZT-BookReading_RS-P1X1R3C3_aitool_cty,inactive,"点击后 1 天内",,,,150,单日预算,56.01,4443,4191,260806_AAA_AEO-Purchase_ios_vid_Growme_T1_0806highvalue_joy,1,56.01,11,5.091818
2026-07-11,2026-08-10,20260803_GrowMe_EN_9x16_FX-SelfGrowth_ZT-Habits_RS-P1X1R3C3_aitool_cty,inactive,"点击后 1 天内",,,,150,单日预算,111,10285,9286,260806_AAA_AEO-Purchase_ios_vid_Growme_T1_0806highvalue_joy,3,37,7,15.857143
