报告开始日期,报告结束日期,广告名称,广告投放,成效,成效指标,单次成效费用,广告组名称,展示次数,"已花费金额 (USD)",点击率（全部）,custom_derived_metrics:334261784830934,应用安装量,"单次应用安装费用 (USD)",订阅次数,"单次订阅费用 (USD)",购物次数,"单次购物费用 (USD)","广告花费回报 (ROAS) - 购物","单次展示的播放视频达 3 秒率","视频播放进度达 100% 的次数",视频平均播放时长,结果（初始）,成效（初始）指标
2026-05-01,2026-06-08,20260602_GrowMe_EN_9x16_FX-Communication_ZT-d1_RS-P3X1R1C3_fj,inactive,3,actions:app_custom_event.fb_mobile_purchase,59.51666667,260603_AAA_AEO-Purchase_ios_vid_Growme_T1_0602_joy,17289,178.55,2.417722,0.20588235,35,5.101429,6,29.758333,3,59.516667,0.214842,19.706172,359,8,,
2026-05-01,2026-06-08,20260602_growme_EN_9x16_FX-Quotes_ZT-focus_RS-P1X1R3C3_wxx,active,,,,260603_AAA_AEO-Purchase_ios_vid_Growme_T1_0602_joy,68,0.54,0,,,,,,,,,29.411765,,9,,
2026-05-01,2026-06-08,20260602_growme_EN_9x16_FX-Quotes_ZT-book_RS-P1X1R3C3_wxx,active,,,,260603_AAA_AEO-Purchase_ios_vid_Growme_T1_0602_joy,458,4.33,0.655022,0,,,,,,,,23.580786,9,3,,
2026-05-01,2026-06-08,20260602_GrowMe_EN_9x16_FX-WomenEmpowerment_ZT-woman_RS-P3X1R1C3_fj,active,,,,260603_AAA_AEO-Purchase_ios_vid_Growme_T1_0602_joy,350,4.25,1.428571,0,,,,,,,,23.428571,3,6,,
2026-05-01,2026-06-08,20260602_growme_EN_9x16_FX-Quotes_ZT-101_RS-P1X1R3C3_wxx,active,,,,260603_AAA_AEO-Purchase_ios_vid_Growme_T1_0602_joy,51,0.57,0,,,,,,,,,27.45098,2,9,,
2026-05-01,2026-06-08,20260602_GrowMe_EN_9x16_FX-Mindset_ZT-phone_RS-P3X1R1C3_fj_jql,active,,,,260603_AAA_AEO-Purchase_ios_vid_Growme_T1_0602_joy,124,1.18,0,,,,,,,,,15.322581,,3,,
2026-05-01,2026-06-08,20260602_growme_EN_9x16_FX-WomenEmpowerment_ZT-cichang_RS-P1X1R3C3_wxx,active,,,,260603_AAA_AEO-Purchase_ios_vid_Growme_T1_0602_joy,180,1.99,1.666667,,1,1.99,,,,,,26.666667,3,6,,
2026-05-01,2026-06-08,"20260602_GrowMe_EN_9x16_FX-LifeLessons_ZT-4 words_RS-P3X1R1C3_fj_jql",active,,,,260603_AAA_AEO-Purchase_ios_vid_Growme_T1_0602_joy,659,6.61,0.30349,,1,6.61,,,,,,20.333839,6,3,,
2026-05-01,2026-06-08,20260602_GrowMe_EN_9x16_FX-EmotionalHealth_ZT-Mentalhealth_RS-P3X1R1C3_fj_jql,active,,,,260603_AAA_AEO-Purchase_ios_vid_Growme_T1_0602_joy,7,0.03,0,,,,,,,,,28.571429,,2,,
2026-05-01,2026-06-08,20260602_GrowMe_EN_9x16_FX-EmotionalHealth_ZT-pride_RS-P3X1R1C3_fj_jql,active,,,,260603_AAA_AEO-Purchase_ios_vid_Growme_T1_0602_joy,19,0.21,5.263158,,,,,,,,,42.105263,,8,,
2026-05-01,2026-06-08,20260601_growme_EN_9x16_FX-Finance_ZT-maderich_RS-P1X1R3C3_wxx,active,,,,260602_AAA_AEO-Purchase_ios_vid_Growme_T1_0601_joy,16,0.12,0,,,,,,,,,18.75,,2,,
2026-05-01,2026-06-08,20260601_growme_EN_9x16_FX-lifelessons_ZT-education_RS-P1X1R3C3_wxx,active,,,,260602_AAA_AEO-Purchase_ios_vid_Growme_T1_0601_joy,1151,11.1,1.042572,0.33333333,1,11.1,,,,,,19.548219,10,7,,
2026-05-01,2026-06-08,20260601_growme_EN_9x16_FX-Learning_ZT-booklist_RS-P1X1R3C3_wxx,active,,,,260602_AAA_AEO-Purchase_ios_vid_Growme_T1_0601_joy,8,0.13,0,,,,,,,,,37.5,,5,,
2026-05-01,2026-06-08,20260601_growme_EN_9x16_FX-Learning_ZT-communication_RS-P1X1R3C3_wxx,active,1,actions:app_custom_event.fb_mobile_purchase,40.17,260602_AAA_AEO-Purchase_ios_vid_Growme_T1_0601_joy,4094,40.17,1.343429,0.43478261,10,4.017,1,40.17,1,40.17,0.716953,18.14851,40,6,,
2026-05-01,2026-06-08,20260601_growme_EN_9x16_FX-Quotes_ZT-meaningful_RS-P1X1R3C3_wxx,active,,,,260602_AAA_AEO-Purchase_ios_vid_Growme_T1_0601_joy,43,0.42,6.976744,,,,,,,,,27.906977,,2,,
2026-05-01,2026-06-08,20260602_GrowMe_EN_9x16_FX-EmotionalHealth_ZT-6anxiety_RS-P3X1R1C3_fj_jql,active,,,,260603_AAA_AEO-Purchase_ios_vid_Growme_T1_0602_joy,92,0.82,3.26087,0,,,,,,,,40.217391,2,8,,
2026-05-01,2026-06-08,20260602_GrowMe_EN_9x16_FX-Mindset_ZT-speech_RS-P3X1R1C3_fj_jql,active,,,,260603_AAA_AEO-Purchase_ios_vid_Growme_T1_0602_joy,372,5.93,1.344086,1,2,2.965,,,,,,25.806452,1,3,,
2026-05-01,2026-06-08,20260602_GrowMe_EN_9x16_FX-Communication_ZT-Foryour_RS-P3X1R1C3_fj_jql,active,,,,260603_AAA_AEO-Purchase_ios_vid_Growme_T1_0602_joy,7,0.09,0,,,,,,,,,14.285714,,2,,
2026-05-01,2026-06-08,20260602_GrowMe_EN_9x16_FX-EmotionalHealth_ZT-Relieveanxiety_RS-P3X1R1C3_fj_jql,active,,,,260603_AAA_AEO-Purchase_ios_vid_Growme_T1_0602_joy,30,0.28,3.333333,0,,,,,,,,23.333333,,4,,
2026-05-01,2026-06-08,20260602_GrowMe_0_EN_9x16_FX-LifeLessons_ZT-read_RS-P3X1R1C3_gy,active,,,,260603_AAA_AEO-Purchase_ios_vid_Growme_T1_0602_joy,50,0.37,2,0,,,,,,,,26,1,8,,
2026-05-01,2026-06-08,20260602_GrowMe_0_EN_9x16_FX-LifeLessons_ZT-confidence_RS-P3X1R1C3_gy,active,1,actions:app_custom_event.fb_mobile_purchase,71.41,260603_AAA_AEO-Purchase_ios_vid_Growme_T1_0602_joy,8750,71.41,1.188571,0.28571429,16,4.463125,3,23.803333,1,71.41,0.400364,16.594286,262,5,,
2026-05-01,2026-06-08,20260602_GrowMe_EN_9x16_FX-Communication_ZT-reading_RS-P3X1R1C3_fj,inactive,3,actions:app_custom_event.fb_mobile_purchase,105.15333333,260603_AAA_AEO-Purchase_ios_vid_Growme_T1_0602_joy,40979,315.46,1.647185,0.35114504,92,3.428913,7,45.065714,3,105.153333,0.14379,15.766612,552,8,,
