报告开始日期,报告结束日期,广告名称,广告投放,成效,成效指标,单次成效费用,广告组名称,展示次数,"CPM（千次展示费用） (USD)","已花费金额 (USD)",应用安装量,"单次应用安装费用 (USD)",订阅次数,"单次订阅费用 (USD)",购物次数,"单次购物费用 (USD)","广告花费回报 (ROAS) - 购物",点击率（全部）,custom_derived_metrics:334261784830934,"单次展示的播放视频达 3 秒率","视频播放进度达 100% 的次数",结果（初始）,成效（初始）指标
2026-06-01,2026-06-29,20260625_GrowMe_EN_9x16_FX-Successful_ZT-proud_RS-P3X1R1C3_fj,active,,,,260626_ABO_AEO-Purchase_ios_vid_Growme_WW_0625_joy,44,1.818182,0.08,,,,,,,,0,,13.636364,,,
2026-06-01,2026-06-29,20260625_GrowMe_EN_9x16_FX-LifeLessons_ZT-reality_RS-P3X1R1C3_fj,active,,,,260626_ABO_AEO-Purchase_ios_vid_Growme_WW_0625_joy,176,6.931818,1.22,2,0.61,,,,,,2.272727,0.5,16.477273,3,,
2026-06-01,2026-06-29,20260625_GrowMe_EN_9x16_FX-Habits_ZT-online_RS-P3X1R1C3_gy_jql,active,,,,260626_ABO_AEO-Purchase_ios_vid_Growme_WW_0625_joy,289,2.110727,0.61,,,,,,,,1.384083,,19.723183,3,,
2026-06-01,2026-06-29,20260625_GrowMe_EN_9x16_FX-LifeLessons_ZT-future_RS-P3X1R1C3_fj,active,,,,260626_ABO_AEO-Purchase_ios_vid_Growme_WW_0625_joy,80,3,0.24,,,,,,,,0,,23.75,3,,
2026-06-01,2026-06-29,20260625_GrowMe_EN_9x16_FX-LifeLessons_ZT-art_RS-P3X1R1C3_gy_jql,active,3,actions:app_custom_event.fb_mobile_purchase,38.19666667,260626_ABO_AEO-Purchase_ios_vid_Growme_WW_0625_joy,49908,2.296025,114.59,33,3.472424,12,9.549167,3,38.196667,0.437909,0.881622,0.16751269,15.730945,290,,
2026-06-01,2026-06-29,20260625_GrowMe_EN_9x16_FX-Communication_ZT-goutong_RS-P3X1R1C3_fj,active,,,,260626_ABO_AEO-Purchase_ios_vid_Growme_WW_0625_joy,122,6.311475,0.77,,,,,,,,0.819672,0,13.114754,2,,
2026-06-01,2026-06-29,20260625_GrowMe_EN_9x16_FX-Communication_ZT-shy_RS-P3X1R1C3_gy_jql,active,3,actions:app_custom_event.fb_mobile_purchase,0.59333333,260626_ABO_AEO-Purchase_ios_vid_Growme_WW_0625_joy,965,1.84456,1.78,3,0.593333,3,0.593333,3,0.593333,34.752809,1.34715,0.6,17.720207,8,,
2026-06-01,2026-06-29,20260624_GrowMe_EN_9x16_FX-LifeLessons_ZT-struggle_RS-P3X1R1C3_gy_jql,active,,,,260625_ABO_AEO-Purchase_ios_vid_Growme_WW_0624_joy,344,2.55814,0.88,,,,,,,,0.581395,0,25,11,,
2026-06-01,2026-06-29,20260624_GrowMe_EN_9x16_FX-Mindset_ZT-quote_RS-P3X1R1C3_gy_jql,active,,,,260625_ABO_AEO-Purchase_ios_vid_Growme_WW_0624_joy,3047,2.829012,8.62,1,8.62,,,,,,1.509682,0.02631579,15.687562,19,,
2026-06-01,2026-06-29,20260624_GrowMe_EN_9x16_FX-Habits_ZT-skill_RS-P3X1R1C3_gy_jql,active,,,,260625_ABO_AEO-Purchase_ios_vid_Growme_WW_0624_joy,2397,4.096788,9.82,,,,,,,,0.542345,0,15.561118,11,,
2026-06-01,2026-06-29,20260624_GrowMe_EN_9x16_FX-Successful_ZT-yanjiang_RS-P3X1R1C3_fj,active,,,,260625_ABO_AEO-Purchase_ios_vid_Growme_WW_0624_joy,263,3.117871,0.82,,,,,,,,0,,26.61597,1,,
2026-06-01,2026-06-29,20260624_GrowMe_EN_9x16_FX-Learning_ZT-podcast_RS-P3X1R1C3_gy_jql,active,,,,260625_ABO_AEO-Purchase_ios_vid_Growme_WW_0624_joy,329,3.25228,1.07,,,,,,,,0.303951,,25.531915,3,,
2026-06-01,2026-06-29,20260624_GrowMe_EN_9x16_FX-Mindset_ZT-life_RS-P3X1R1C3_gy_jql,active,,,,260625_ABO_AEO-Purchase_ios_vid_Growme_WW_0624_joy,62,1.129032,0.07,,,,,,,,0,,17.741935,,,
2026-06-01,2026-06-29,20260624_growme_EN_9x16_FX-LifeLessons_ZT-writing_RS-P1X1R3C3_wxx,active,,,,260625_ABO_AEO-Purchase_ios_vid_Growme_WW_0624_joy,478,1.736402,0.83,,,,,,,,0,,26.778243,12,,
2026-06-01,2026-06-29,20260624_GrowMe_EN_9x16_FX-Learning_ZT-business_RS-P3X1R1C3_gy_jql,active,,,,260625_ABO_AEO-Purchase_ios_vid_Growme_WW_0624_joy,2199,1.782628,3.92,,,,,,,,1.091405,0,20.918599,12,,
2026-06-01,2026-06-29,20260624_GrowMe_EN_9x16_FX-LifeLessons_ZT-true_RS-P3X1R1C3_gy_jql,inactive,,,,260625_ABO_AEO-Purchase_ios_vid_Growme_WW_0624_joy,11955,2.56629,30.68,3,10.226667,,,,,,1.012129,0.04347826,16.152238,201,,
