报告开始日期,报告结束日期,广告名称,广告投放,成效,成效指标,单次成效费用,广告组名称,展示次数,"CPM（千次展示费用） (USD)","已花费金额 (USD)",应用安装量,"单次应用安装费用 (USD)",订阅次数,"单次订阅费用 (USD)",购物次数,"单次购物费用 (USD)","广告花费回报 (ROAS) - 购物",点击率（全部）,custom_derived_metrics:334261784830934,"单次展示的播放视频达 3 秒率","视频播放进度达 100% 的次数",结果（初始）,成效（初始）指标
2025-12-01,2026-06-26,20260617_GrowMe_EN_9x16_FX-Learning_ZT-bridge_RS-P3X1R1C3_fj,inactive,,,,260618_ABO_AEO-Purchase_ios_vid_Growme_WW_0617_joy,23014,1.784566,41.07,36,1.140833,,,,,,0.860346,0.37894737,17.454593,210,,
2025-12-01,2026-06-26,20260617_growme_EN_9x16_FX-Learning_ZT-onemoretime_RS-P1X1R3C3_wxx,active,,,,260618_ABO_AEO-Purchase_ios_vid_Growme_WW_0617_joy,79,3.797468,0.3,,,,,,,,5.063291,0,27.848101,,,
2025-12-01,2026-06-26,20260617_GrowMe_EN_9x16_FX-Learning_ZT-English_RS-P3X1R1C3_gy_jql,inactive,,,,260618_ABO_AEO-Purchase_ios_vid_Growme_WW_0617_joy,10046,2.968346,29.82,13,2.293846,,,,,,1.413498,0.11711712,19.918375,57,,
2025-12-01,2026-06-26,20260617_growme_EN_9x16_FX-Learning_ZT-check_RS-P1X1R3C3_wxx,active,,,,260618_ABO_AEO-Purchase_ios_vid_Growme_WW_0617_joy,5,2,0.01,,,,,,,,0,,20,,,
2025-12-01,2026-06-26,20260617_GrowMe_EN_9x16_FX-Mindset_ZT-kaizhi_RS-P3X1R1C3_gy_jql,active,,,,260618_ABO_AEO-Purchase_ios_vid_Growme_WW_0617_joy,2215,2.573363,5.7,3,1.9,,,,,,1.038375,0.23076923,21.805869,10,,
2025-12-01,2026-06-26,20260618_growme_EN_9x16_FX-LifeLessons_ZT-confident_RS-P1X1R3C3_wxx,active,,,,260619_ABO_AEO-Purchase_ios_vid_Growme_WW_0618_joy,333,3.003003,1,,,,,,,,0.600601,0,27.927928,1,,
2025-12-01,2026-06-26,20260618_Growme_EN_9x16_FX-Creative_JB-061801-ZR_ZT-book2_RS-P2X1R1C3_095KB-JL_RMG-5714B,active,,,,260619_ABO_AEO-Purchase_ios_vid_Growme_WW_0618_joy,98,4.183673,0.41,,,,,,,,3.061224,0,33.673469,1,,
2025-12-01,2026-06-26,20260618_GrowMe_EN_9x16_FX-Learning_ZT-speak_RS-P3X1R1C3_gy_jql,inactive,,,,260619_ABO_AEO-Purchase_ios_vid_Growme_WW_0618_joy,9204,3.221425,29.65,16,1.853125,1,29.65,,,,1.521078,0.16494845,22.674924,32,,
2025-12-01,2026-06-26,20260618_GrowMe_EN_9x16_FX-LifeLessons_ZT-advice_RS-P3X1R1C3_gy_jql,active,,,,260619_ABO_AEO-Purchase_ios_vid_Growme_WW_0618_joy,410,3.243902,1.33,,,,,,,,1.219512,0,18.292683,2,,
2025-12-01,2026-06-26,20260617_GrowMe_EN_9x16_FX-Bookreading_ZT-time_RS-P3X1R1C3_gy,inactive,,,,260618_ABO_AEO-Purchase_ios_vid_Growme_WW_0617_joy,10304,2.783385,28.68,13,2.206154,,,,,,1.125776,0.29545455,14.324534,48,,
2025-12-01,2026-06-26,20260617_growme_EN_9x16_FX-Learning_ZT-6mins_RS-P1X1R3C3_wxx,active,,,,260618_ABO_AEO-Purchase_ios_vid_Growme_WW_0617_joy,702,3.589744,2.52,,,,,,,,0.997151,0,22.222222,1,,
2025-12-01,2026-06-26,20260617_GrowMe_EN_9x16_FX-Lifelessons_ZT-hard_RS-P3X1R1C3_gy,active,,,,260618_ABO_AEO-Purchase_ios_vid_Growme_WW_0617_joy,2756,3.584906,9.88,1,9.88,,,,,,1.015965,0.07142857,18.214804,21,,
2025-12-01,2026-06-26,20260617_growme_EN_9x16_FX-LifeLessons_ZT-purpose_RS-P1X1R3C3_wxx,active,,,,260618_ABO_AEO-Purchase_ios_vid_Growme_WW_0617_joy,81,3.950617,0.32,,,,,,,,2.469136,0,20.987654,,,
2025-12-01,2026-06-26,20260617_GrowMe_EN_9x16_FX-Mindset_ZT-gentle_RS-P3X1R1C3_gy_jql,active,,,,260618_ABO_AEO-Purchase_ios_vid_Growme_WW_0617_joy,289,3.425606,0.99,,,,,,,,1.384083,0,25.259516,1,,
2025-12-01,2026-06-26,20260617_growme_EN_9x16_FX-Learning_ZT-reading_RS-P1X1R3C3_wxx,active,,,,260618_ABO_AEO-Purchase_ios_vid_Growme_WW_0617_joy,26,1.923077,0.05,,,,,,,,0,,11.538462,,,
2025-12-01,2026-06-26,20260617_GrowMe_EN_9x16_FX-Learning_ZT-language_RS-P3X1R1C3_gy_jql,inactive,5,actions:app_custom_event.fb_mobile_purchase,51.712,260618_ABO_AEO-Purchase_ios_vid_Growme_WW_0617_joy,75838,3.409373,258.56,82,3.153171,7,36.937143,5,51.712,0.384746,1.805164,0.07488584,18.728078,479,,
2025-12-01,2026-06-26,20260617_GrowMe_EN_9x16_FX-Learning_ZT-10mins_RS-P3X1R1C3_gy,inactive,4,actions:app_custom_event.fb_mobile_purchase,94.29,260618_ABO_AEO-Purchase_ios_vid_Growme_WW_0617_joy,193672,1.947416,377.16,308,1.224545,6,62.86,4,94.29,0.344337,1.07553,0.26597582,14.595811,2183,,
2025-12-01,2026-06-26,20260617_GrowMe_EN_9x16_FX-Lifelessons_ZT-1min_RS-P3X1R1C3_gy_jql,active,,,,260618_ABO_AEO-Purchase_ios_vid_Growme_WW_0617_joy,2294,2.911944,6.68,,,,,,,,0.566696,0,15.693112,9,,
2025-12-01,2026-06-26,20260617_GrowMe_EN_9x16_FX-Lifelessons_ZT-happy_RS-P3X1R1C3_gy_jql,active,,,,260618_ABO_AEO-Purchase_ios_vid_Growme_WW_0617_joy,4440,3.238739,14.38,2,7.19,,,,,,0.698198,0.11111111,16.148649,12,,
