报告开始日期,报告结束日期,广告名称,广告投放,成效,成效指标,单次成效费用,广告组名称,展示次数,"已花费金额 (USD)",点击率（全部）,custom_derived_metrics:334261784830934,应用安装量,"单次应用安装费用 (USD)",订阅次数,"单次订阅费用 (USD)",购物次数,"单次购物费用 (USD)","广告花费回报 (ROAS) - 购物","单次展示的播放视频达 3 秒率","视频播放进度达 100% 的次数",视频平均播放时长,结果（初始）,成效（初始）指标
2026-05-01,2026-06-08,"20260604_GrowMe_EN_9x16_FX-Learning_ZT-learn English_RS-P3X1R1C3_fj",active,,,,260605_AAA_AEO-Purchase_ios_vid_Growme_WW_0604_joy,490,1.14,1.020408,0,,,,,,,,19.795918,3,6,,
2026-05-01,2026-06-08,"20260603_GrowMe_EN_9x16_FX-Mindset_ZT- work_RS-P3X1R1C3_fj_jql",active,,,,260605_AAA_AEO-Purchase_ios_vid_Growme_WW_0604_joy,1358,3.33,0.810015,0,,,,,,,,21.207658,9,19,,
2026-05-01,2026-06-08,20260604_GrowMe_EN_9x16_FX-Learning_ZT-habbit_RS-P3X1R1C3_gy,active,17,actions:app_custom_event.fb_mobile_purchase,34.3,260605_AAA_AEO-Purchase_ios_vid_Growme_WW_0604_joy,234676,583.1,2.12591,0.24508825,736,0.792255,40,14.5775,17,34.3,0.551586,14.229406,2627,4,,
2026-05-01,2026-06-08,"20260603_GrowMe_EN_9x16_FX-EmotionalHealth_ZT- ifyou_RS-P3X1R1C3_fj_jql",active,,,,260605_AAA_AEO-Purchase_ios_vid_Growme_WW_0604_joy,41,0.07,2.439024,0,,,,,,,,21.95122,,8,,
2026-05-01,2026-06-08,20260604_GrowMe_EN_9x16_FX-Finance_ZT-18s_RS-P3X1R1C3_fj,active,,,,260605_AAA_AEO-Purchase_ios_vid_Growme_WW_0604_joy,149,0.28,0,,,,,,,,,23.489933,,4,,
2026-05-01,2026-06-08,20260603_GrowMe_EN_9x16_FX-Formats_ZT-respect_RS-P3X1R1C3_gy,active,,,,260604_AAA_AEO-Purchase_ios_vid_Growme_WW_0603_joy,136,0.26,2.205882,0,,,,,,,,30.147059,3,13,,
2026-05-01,2026-06-08,20260603_GrowMe_EN_9x16_FX-SelfImprovement_ZT-dontcare_RS-P3X1R1C3_fj_jql,active,,,,260604_AAA_AEO-Purchase_ios_vid_Growme_WW_0603_joy,229,0.48,0.436681,0,,,,,,,,21.834061,1,3,,
2026-05-01,2026-06-08,20260603_GrowMe_EN_9x16_FX-Discipline_ZT-thinking_RS-P3X1R1C3_fj_jql,active,,,,260604_AAA_AEO-Purchase_ios_vid_Growme_WW_0603_joy,548,0.68,1.459854,0,,,,,,,,20.437956,2,4,,
2026-05-01,2026-06-08,20260603_growme_EN_9x16_FX-lifelessons_ZT-youshouldtry_RS-P1X1R3C3_wxx,inactive,1,actions:app_custom_event.fb_mobile_purchase,156.8,260604_AAA_AEO-Purchase_ios_vid_Growme_WW_0603_joy,72947,156.8,1.333845,0.21518987,51,3.07451,1,156.8,1,156.8,0.178189,19.771889,806,4,,
2026-05-01,2026-06-08,20260603_GrowMe_EN_9x16_FX-Discipline_ZT-2choice_RS-P3X1R1C3_fj_jql,active,,,,260604_AAA_AEO-Purchase_ios_vid_Growme_WW_0603_joy,96,0.13,1.041667,,,,,,,,,28.125,1,5,,
2026-05-01,2026-06-08,"20260603_GrowMe_EN_9x16_FX-WomenEmpowerment_ZT- forgive_RS-P3X1R1C3_fj_jql",active,,,,260604_AAA_AEO-Purchase_ios_vid_Growme_WW_0603_joy,660,1.6,0.757576,0,,,,,,,,23.636364,2,5,,
2026-05-01,2026-06-08,20260603_GrowMe_0_EN_9x16_FX-Learning_ZT-speak_RS-P3X1R1C3_gy,inactive,2,actions:app_custom_event.fb_mobile_purchase,36.625,260604_AAA_AEO-Purchase_ios_vid_Growme_WW_0603_joy,60075,73.25,1.271744,0.27329193,88,0.832386,2,36.625,2,36.625,0.39686,17.208489,665,8,,
2026-05-01,2026-06-08,20260603_growme_EN_9x16_FX-lifeisnoteasy_ZT-youshouldtry_RS-P1X1R3C3_wxx,active,,,,260604_AAA_AEO-Purchase_ios_vid_Growme_WW_0603_joy,1005,1.45,1.691542,0.44444444,4,0.3625,,,,,,19.60199,13,12,,
2026-05-01,2026-06-08,20260603_growme_EN_9x16_FX-lifelessons_ZT-lifeplanned_RS-P1X1R3C3_wxx,active,,,,260604_AAA_AEO-Purchase_ios_vid_Growme_WW_0603_joy,1312,2.18,1.52439,0.1,1,2.18,,,,,,19.817073,16,7,,
2026-05-01,2026-06-08,20260603_growme_EN_9x16_FX-Learning_ZT-singsong_RS-P1X1R3C3_wxx,active,,,,260604_AAA_AEO-Purchase_ios_vid_Growme_WW_0603_joy,5766,6.91,0.988554,0.02857143,1,6.91,,,,,,16.961498,49,3,,
2026-05-01,2026-06-08,20260603_GrowMe_EN_9x16_FX-Growth_ZT-change_RS-P3X1R1C3_gy,inactive,1,actions:app_custom_event.fb_mobile_purchase,53.45,260604_AAA_AEO-Purchase_ios_vid_Growme_WW_0603_joy,28320,53.45,1.133475,0.40816327,40,1.33625,3,17.816667,1,53.45,0.240973,18.908898,409,7,,
2026-05-01,2026-06-08,"20260603_GrowMe_EN_9x16_FX- Focus_ZT- yourself_RS-P3X1R1C3_fj",active,,,,260604_AAA_AEO-Purchase_ios_vid_Growme_WW_0603_joy,47,0.07,0,,,,,,,,,14.893617,,2,,
2026-05-01,2026-06-08,20260602_growme_EN_9x16_FX-Quotes_ZT-book_RS-P1X1R3C3_wxx,inactive,1,actions:app_custom_event.fb_mobile_purchase,67.63,260603_AAA_AEO-Purchase_ios_vid_Growme_WW_0602_joy,29772,67.63,0.927046,0.1875,18,3.757222,,,1,67.63,0.492976,22.574903,469,3,,
2026-05-01,2026-06-08,20260602_GrowMe_0_EN_9x16_FX-Growth_ZT-naixin_RS-P3X1R1C3_gy,active,,,,260603_AAA_AEO-Purchase_ios_vid_Growme_WW_0602_joy,136,0.46,1.470588,,,,,,,,,20.588235,2,4,,
2026-05-01,2026-06-08,20260602_GrowMe_EN_9x16_FX-EmotionalHealth_ZT-pride_RS-P3X1R1C3_fj_jql,active,,,,260603_AAA_AEO-Purchase_ios_vid_Growme_WW_0602_joy,130,0.34,0.769231,,,,,,,,,31.538462,,4,,
2026-05-01,2026-06-08,20260602_GrowMe_0_EN_9x16_FX-Learning_ZT-read_RS-P3X1R1C3_gy,inactive,5,actions:app_custom_event.fb_mobile_purchase,37.944,260603_AAA_AEO-Purchase_ios_vid_Growme_WW_0602_joy,88683,189.72,1.430939,0.29215116,201,0.943881,12,15.81,5,37.944,0.449874,16.033513,959,6,,
2026-05-01,2026-06-08,20260602_GrowMe_EN_9x16_FX-LifeLessons_ZT-Letnature_RS-P3X1R1C3_fj_jql,active,,,,260603_AAA_AEO-Purchase_ios_vid_Growme_WW_0602_joy,129,0.22,2.325581,0,,,,,,,,17.829457,1,3,,
